variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s2q15_7,2.15.7 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,1775,,,,
s2q15_8,2.15.8 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,1140,,,,
s2q15_9,2.15.9 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,686,,,,
s2q15_10,2.15.10 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,368,,,,
nmber_vegs,Vegetables (in numbers) grown by the household,int8,,0,0,10666,,,,
s2q15_v_1,2.15.v.1 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,1527,,,,
s2q15_v_2,2.15.v.2 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,673,,,,
s2q15_v_3,2.15.v.3 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,257,,,,
s2q15_v_4,2.15.v.4 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,119,,,,
s2q15_v_5,2.15.v.5 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,55,,,,
s2q15_v_6,2.15.v.6 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,23,,,,
s2q15_v_7,2.15.v.7 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,7,,,,
s2q15_v_8,2.15.v.8 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,4,,,,
s2q15_v_9,2.15.v.9 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,3,,,,
s2q15_v_10,2.15.v.10 Which vegetables that have been grown?,int8,"1=Tomato, 2=cabbage, 3=Cauliflower, 4=Onion, 5=Carrot …",20,0,2,,,,
s2q16,2.16 Have your household stored your crops after harvest?,int8,"1=Yes for 1 month or less, 2=Yes for 1 to 2 months, 3=Yes for 2 to 3 months, 4=Above 3 months, 5=No",5,0,10294,,,,
crops_stored,Crops (in numbers) stored by the household,int8,,0,0,10666,,,,
s2q17_1,2.17.1 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,6464,,,,
s2q17_2,2.17.2 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,3768,,,,
s2q17_3,2.17.3 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,1280,,,,
s2q17_4,2.17.4 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,342,,,,
s2q17_5,2.17.5 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,79,,,,
s2q17_6,2.17.6 Which crops have you stored?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,14,,,,
